device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity,discount_percent,discount_amount,pages_viewed,time_on_site_sec,added_to_cart,purchased,rating,visit_day,visit_month,visit_weekday,visit_season,session_duration_bucket,location,visit_year
1,0,0,525,3,806.73,3,0,0.0,18,1168,0,0,4,6,9,4,0,Long,194,2024
2,0,4,842,6,1374.55,4,15,824.73,21,1781,1,0,4,10,12,1,3,Very Long,155,2024
1,1,4,394,1,361.79,4,0,0.0,18,720,1,0,4,2,1,1,3,Short,197,2024
1,1,5,237,7,557.98,1,15,83.7,17,1526,1,0,4,3,12,1,3,Very Long,145,2024
0,0,2,835,2,799.51,1,10,79.95,22,943,1,1,5,16,3,5,1,Long,88,2024
1,1,2,567,3,853.62,2,20,341.45,9,26,1,0,4,24,6,0,2,Very Short,40,2024
1,0,4,367,7,667.9,1,5,33.4,8,1454,1,1,5,4,4,3,1,Very Long,135,2024
1,0,3,376,0,927.81,2,20,371.12,9,1105,1,0,4,22,2,3,3,Long,136,2024
1,1,0,57,1,161.8,3,10,48.54,7,604,0,0,4,13,9,4,0,Short,36,2024
0,1,3,750,6,1159.83,4,0,0.0,11,1396,1,0,4,24,6,0,2,Very Long,62,2024
0,1,1,440,7,1014.28,1,0,0.0,1,1503,1,0,4,4,7,3,2,Very Long,215,2024
1,1,5,722,1,511.8,4,10,204.72,12,169,1,0,4,25,6,1,2,Very Short,31,2024
0,0,1,207,4,180.12,2,20,72.05,16,526,1,0,4,29,9,6,0,Short,20,2024
1,0,1,72,4,437.0,4,20,349.6,10,610,1,1,5,18,12,2,3,Short,104,2024
1,1,2,9,5,560.82,4,0,0.0,12,689,0,0,4,6,7,5,2,Short,120,2024
0,1,5,551,1,789.99,1,0,0.0,24,121,1,1,4,26,2,0,3,Very Short,176,2024
1,0,5,819,3,837.27,2,10,167.45,10,415,0,0,4,29,4,0,1,Very Short,152,2024
1,0,4,657,3,855.27,2,15,256.58,1,541,1,0,4,30,6,6,2,Short,33,2024
1,1,2,604,3,1140.72,3,0,0.0,1,449,1,0,4,7,2,2,3,Very Short,106,2024
0,1,2,462,2,1434.14,3,0,0.0,17,702,1,0,4,24,3,6,1,Short,196,2024
0,0,2,105,6,1937.8,4,0,0.0,19,892,0,0,4,14,3,3,1,Short,17,2024
0,1,3,504,2,986.19,1,0,0.0,15,1728,1,1,1,21,12,5,3,Very Long,25,2024
0,1,5,341,3,450.96,4,20,360.77,11,583,1,0,4,26,5,6,1,Short,99,2024
1,0,3,98,1,384.67,4,5,76.93,10,1627,1,0,4,16,11,5,0,Very Long,135,2024
0,0,1,250,5,464.23,4,20,371.38,2,769,1,1,5,20,7,5,2,Short,170,2024
0,1,0,621,7,829.96,1,20,165.99,1,36,1,0,4,3,7,2,2,Very Short,32,2024
2,1,1,733,0,344.48,3,30,310.03,14,1518,0,0,4,8,12,6,3,Very Long,82,2024
0,0,4,277,2,1113.7,1,5,55.68,18,819,1,1,1,9,9,0,0,Short,86,2024
0,1,4,626,1,601.67,2,10,120.33,8,159,1,1,5,28,3,3,1,Very Short,7,2024
1,1,3,895,6,420.59,2,0,0.0,1,1736,1,0,4,12,4,4,1,Very Long,3,2024
1,1,1,98,3,1472.25,1,15,220.84,20,361,0,0,4,31,8,5,2,Very Short,206,2024
0,0,1,338,2,1963.8,4,10,785.52,18,1257,1,0,4,1,1,0,3,Long,90,2024
2,0,3,5,1,324.28,3,10,97.28,6,499,1,0,4,25,2,6,3,Short,111,2024
1,0,3,149,1,182.24,4,0,0.0,16,434,0,0,4,28,1,6,3,Very Short,15,2024
0,1,4,737,1,312.41,4,5,62.48,13,930,1,0,4,17,9,1,0,Long,3,2024
0,1,1,735,6,1369.26,4,20,1095.41,7,168,1,0,4,10,6,0,2,Very Short,200,2024
2,0,4,838,6,488.23,2,10,97.65,16,1594,1,0,4,5,1,4,3,Very Long,210,2024
0,1,4,561,5,625.98,1,10,62.6,5,1242,1,1,4,27,9,4,0,Long,92,2024
1,0,3,864,1,162.17,2,0,0.0,20,1307,0,0,4,27,8,1,2,Long,46,2024
0,1,3,658,7,1003.8,4,0,0.0,13,1687,1,0,4,19,9,3,0,Very Long,147,2024
0,1,4,106,7,752.04,2,0,0.0,19,889,1,0,4,29,2,3,3,Short,137,2024
1,0,3,418,3,1493.22,2,0,0.0,8,1211,1,0,4,15,11,4,0,Long,70,2024
2,0,4,351,3,702.87,2,10,140.57,9,508,0,0,4,6,3,2,1,Short,99,2024
0,0,5,85,0,228.95,1,30,68.68,20,1223,1,0,4,27,7,5,2,Long,114,2024
0,0,1,109,0,509.21,4,10,203.68,19,1316,1,0,4,23,7,1,2,Long,179,2024
1,1,1,856,0,544.5,3,10,163.35,6,1456,1,0,4,20,3,2,1,Very Long,202,2024
1,0,1,839,7,1191.35,3,0,0.0,3,1580,0,0,4,17,5,4,1,Very Long,178,2024
1,1,0,878,5,1130.83,3,0,0.0,23,412,1,1,5,20,1,5,3,Very Short,191,2024
0,1,0,406,5,311.68,2,20,124.67,12,1323,1,1,5,21,6,4,2,Long,17,2024
2,0,2,333,2,1622.05,4,0,0.0,3,199,0,0,4,4,9,2,0,Very Short,197,2024
0,0,2,817,3,830.16,3,15,373.57,14,1541,1,0,4,22,4,0,1,Very Long,13,2024
0,0,3,169,4,377.62,1,0,0.0,6,734,1,1,5,15,7,0,2,Short,224,2024
0,1,0,408,0,956.9,4,25,956.9,13,1744,0,0,4,14,12,5,3,Very Long,125,2024
0,1,5,678,4,453.27,2,0,0.0,12,1363,1,0,4,26,3,1,1,Very Long,1,2024
1,0,0,81,0,766.88,1,0,0.0,16,179,1,0,4,16,4,1,1,Very Short,29,2024
0,0,1,239,4,494.63,4,5,98.93,12,637,1,1,3,13,2,1,3,Short,15,2024
1,1,1,321,4,361.94,3,30,325.75,4,1320,1,1,5,16,7,1,2,Long,211,2024
0,0,4,887,5,1001.55,1,0,0.0,22,889,0,0,4,15,3,4,1,Short,203,2024
0,0,2,873,7,205.08,3,20,123.05,19,1737,0,0,4,7,11,3,0,Very Long,14,2024
1,0,0,209,3,1148.23,1,5,57.41,1,687,1,0,4,16,4,1,1,Short,36,2024
1,0,3,787,5,880.53,2,5,88.05,23,1701,1,0,4,30,8,4,2,Very Long,66,2024
0,1,1,550,1,240.22,2,5,24.02,20,928,0,0,4,10,3,6,1,Long,21,2024
0,1,3,461,3,717.73,1,0,0.0,17,1243,0,0,4,27,4,5,1,Long,9,2024
1,0,2,185,2,1576.25,4,0,0.0,4,1581,1,1,3,3,3,6,1,Very Long,46,2024
1,0,0,295,5,467.97,3,0,0.0,13,1088,1,0,4,20,7,5,2,Long,25,2024
1,1,0,492,5,1155.56,2,5,115.56,6,33,1,0,4,11,1,3,3,Very Short,6,2024
1,0,4,147,1,266.92,3,0,0.0,17,1767,1,0,4,31,1,2,3,Very Long,20,2024
0,1,1,421,0,194.94,2,10,38.99,2,1623,1,0,4,2,7,1,2,Very Long,17,2024
2,1,4,123,2,1894.89,2,0,0.0,19,1343,1,0,4,18,7,3,2,Long,218,2024
0,1,5,78,6,1392.83,4,0,0.0,16,302,1,1,5,30,4,1,1,Very Short,4,2024
0,0,0,139,5,811.02,3,0,0.0,22,1666,1,0,4,6,6,3,2,Very Long,187,2024
1,1,1,679,7,267.27,3,5,40.09,10,240,0,0,4,1,6,5,2,Very Short,63,2024
0,0,5,478,7,537.22,3,15,241.75,7,677,1,0,4,3,10,3,0,Short,49,2024
1,1,5,741,0,713.73,4,20,570.98,7,1780,1,0,4,11,6,1,2,Very Long,140,2024
0,1,5,628,0,326.38,1,0,0.0,18,198,1,0,4,5,11,1,0,Very Short,90,2024
1,1,2,41,5,1299.26,3,5,194.89,21,1026,1,0,4,20,3,2,1,Long,102,2024
1,0,5,266,2,1315.98,2,15,394.79,18,1590,0,0,4,13,3,2,1,Very Long,168,2024
1,1,4,306,0,712.19,1,0,0.0,23,628,1,0,4,27,5,0,1,Short,34,2024
1,1,2,884,2,1872.33,4,5,374.47,2,983,1,0,4,30,1,1,3,Long,197,2024
0,0,2,538,7,850.72,1,15,127.61,13,1473,1,0,4,1,9,6,0,Very Long,76,2024
1,1,2,419,1,412.72,1,15,61.91,24,662,1,0,4,22,5,2,1,Short,35,2024
1,1,5,840,0,988.76,1,20,197.75,20,906,1,0,4,13,5,0,1,Long,140,2024
1,1,0,535,2,1855.47,3,20,1113.28,2,114,1,0,4,13,7,5,2,Very Short,117,2024
0,0,5,659,5,1311.93,4,10,524.77,2,1701,1,0,4,30,1,1,3,Very Long,163,2024
0,1,1,481,5,845.68,4,25,845.68,13,1264,1,0,4,17,5,4,1,Long,77,2024
0,0,2,364,0,155.36,3,0,0.0,17,1774,1,0,4,20,12,4,3,Very Long,140,2024
1,1,3,693,3,884.9,1,20,176.98,19,1013,1,1,4,17,8,5,2,Long,128,2024
1,1,2,328,5,1156.58,3,0,0.0,12,471,1,0,4,28,7,6,2,Short,167,2024
2,0,5,841,1,646.87,4,5,129.37,21,1014,0,0,4,3,7,2,2,Long,200,2024
1,1,2,299,0,605.61,2,10,121.12,18,1698,1,0,4,20,6,3,2,Very Long,14,2024
1,1,5,761,0,549.85,3,10,164.96,14,1773,1,0,4,7,12,5,3,Very Long,76,2024
1,0,5,66,5,1289.36,2,15,386.81,4,127,1,0,4,5,12,3,3,Very Short,172,2024
0,0,5,462,6,317.14,2,10,63.43,5,1017,1,1,5,29,5,2,1,Long,77,2024
1,1,4,432,3,1490.71,3,30,1341.64,23,1102,0,0,4,3,12,1,3,Long,85,2024
1,1,1,843,1,346.05,2,5,34.61,23,1111,1,0,4,31,1,2,3,Long,34,2024
0,0,2,335,4,445.17,3,15,200.33,22,826,1,0,4,26,4,4,1,Short,48,2024
0,1,2,376,0,297.9,3,10,89.37,6,601,0,0,4,20,4,5,1,Short,119,2024
0,0,3,55,3,1168.82,1,20,233.76,10,1159,0,0,4,11,9,2,0,Long,90,2024
1,0,1,66,0,342.89,2,10,68.58,20,855,1,1,3,9,8,4,2,Short,157,2024
0,1,3,504,7,504.35,2,0,0.0,3,469,0,0,4,21,6,4,2,Short,68,2024
0,0,2,119,5,415.02,1,0,0.0,8,1034,1,1,2,3,4,2,1,Long,118,2024
0,1,1,301,3,1499.58,1,20,299.92,8,1575,1,1,2,4,7,3,2,Very Long,222,2024
1,0,0,855,5,772.57,3,10,231.77,21,166,1,0,4,8,4,0,1,Very Short,44,2024
1,0,4,261,7,217.59,1,0,0.0,20,992,1,0,4,30,6,6,2,Long,175,2024
2,1,1,845,6,625.89,1,5,31.29,9,1739,1,1,1,3,5,4,1,Very Long,86,2024
1,0,0,376,6,652.85,4,10,261.14,2,1756,0,0,4,20,11,2,0,Very Long,204,2024
0,1,1,821,3,982.23,4,0,0.0,22,1101,1,1,4,29,9,6,0,Long,109,2024
0,1,5,314,2,832.56,4,0,0.0,12,1181,0,0,4,4,3,0,1,Long,12,2024
1,1,1,675,2,1910.48,1,20,382.1,8,1069,0,0,4,9,12,0,3,Long,38,2024
1,1,1,134,1,107.69,4,5,21.54,2,653,1,1,3,28,8,2,2,Short,139,2024
1,1,3,610,2,981.34,4,0,0.0,18,1645,1,0,4,7,5,1,1,Very Long,123,2024
0,0,1,300,4,204.24,1,0,0.0,20,528,1,0,4,12,7,4,2,Short,64,2024
2,1,1,753,5,237.08,1,15,35.56,20,445,1,0,4,12,3,1,1,Very Short,88,2024
0,0,1,409,0,482.79,3,15,217.26,2,903,0,0,4,18,1,3,3,Short,175,2024
1,1,2,400,4,119.85,3,0,0.0,18,397,1,0,4,2,6,6,2,Very Short,48,2024
1,1,2,585,1,196.81,3,20,118.09,16,748,1,1,5,12,10,5,0,Short,128,2024
1,0,2,492,1,157.38,1,30,47.21,5,1704,1,1,1,8,5,2,1,Very Long,57,2024
1,1,2,496,2,1594.29,3,0,0.0,8,987,0,0,4,20,5,0,1,Long,94,2024
1,0,3,807,5,403.3,2,0,0.0,9,1789,1,0,4,27,12,4,3,Very Long,151,2024
1,1,1,666,2,1425.39,2,5,142.54,23,330,1,0,4,26,12,3,3,Very Short,51,2024
1,0,1,51,6,1922.0,4,0,0.0,19,372,1,0,4,18,6,1,2,Very Short,201,2024
0,0,3,857,1,189.57,4,5,37.91,7,105,0,0,4,17,1,2,3,Very Short,52,2024
0,1,2,506,3,1207.13,4,15,724.28,9,1297,1,1,4,4,9,2,0,Long,118,2024
1,1,1,62,4,289.18,2,15,86.75,13,1678,0,0,4,17,9,1,0,Very Long,213,2024
1,1,0,342,7,356.93,4,20,285.54,8,1285,0,0,4,29,11,4,0,Long,124,2024
1,1,5,17,2,943.38,1,0,0.0,15,755,1,1,2,12,12,3,3,Short,224,2024
1,1,2,499,4,55.65,3,25,41.74,20,757,1,0,4,17,8,5,2,Short,99,2024
0,1,5,566,6,1103.54,3,0,0.0,20,616,1,1,3,9,2,4,3,Short,217,2024
1,1,3,860,0,217.58,3,0,0.0,1,187,0,0,4,1,4,0,1,Very Short,30,2024
2,0,0,608,4,273.63,1,10,27.36,20,359,1,0,4,18,9,2,0,Very Short,45,2024
0,1,2,706,2,978.16,4,5,195.63,12,799,1,0,4,9,8,4,2,Short,202,2024
0,0,5,726,4,285.21,3,15,128.34,9,1544,1,0,4,8,6,5,2,Very Long,187,2024
0,1,1,428,4,64.08,1,10,6.41,1,55,0,0,4,26,5,6,1,Very Short,7,2024
1,1,4,351,6,652.34,1,5,32.62,1,1204,0,0,4,15,9,6,0,Long,56,2024
0,1,0,612,2,1401.02,3,10,420.31,9,549,1,0,4,3,6,0,2,Short,133,2024
1,1,1,64,0,972.14,1,30,291.64,18,637,1,1,3,26,2,0,3,Short,52,2024
0,1,5,506,3,1197.97,3,10,359.39,24,1270,1,0,4,23,12,0,3,Long,100,2024
0,0,0,155,5,1253.85,2,0,0.0,20,931,1,1,5,7,5,1,1,Long,203,2024
0,1,2,177,6,1391.19,2,0,0.0,21,1671,1,0,4,11,4,3,1,Very Long,111,2024
0,0,0,789,1,295.93,2,0,0.0,17,840,1,1,4,26,1,4,3,Short,159,2024
1,0,2,409,6,1712.12,3,0,0.0,6,669,1,1,2,20,6,3,2,Short,69,2024
2,0,2,494,1,147.88,1,0,0.0,9,54,0,0,4,25,12,2,3,Very Short,121,2024
1,1,2,99,3,761.37,3,15,342.62,2,765,1,0,4,28,2,2,3,Short,172,2024
1,1,5,245,1,270.76,3,10,81.23,21,751,0,0,4,30,3,5,1,Short,63,2024
0,1,2,410,6,1251.49,3,0,0.0,11,189,1,1,4,6,3,2,1,Very Short,167,2024
1,0,0,814,7,197.03,3,5,29.55,24,1159,0,0,4,4,2,6,3,Long,83,2024
1,0,4,395,4,305.41,4,0,0.0,10,1056,0,0,4,8,8,3,2,Long,3,2024
1,0,5,566,4,394.1,3,5,59.12,9,718,0,0,4,18,4,3,1,Short,58,2024
1,0,2,627,7,374.68,3,20,224.81,18,30,1,0,4,1,10,1,0,Very Short,13,2024
0,1,1,178,1,458.63,3,0,0.0,17,1690,0,0,4,26,5,6,1,Very Long,27,2024
0,0,1,242,5,632.95,3,0,0.0,8,890,0,0,4,20,8,1,2,Short,126,2024
0,0,0,476,1,489.49,3,30,440.54,17,723,1,0,4,2,2,4,3,Short,145,2024
1,1,2,353,5,456.74,1,5,22.84,20,1006,0,0,4,30,4,1,1,Long,56,2024
1,1,5,732,6,825.76,4,20,660.61,6,1752,1,1,5,31,5,4,1,Very Long,219,2024
2,1,0,370,4,486.38,1,0,0.0,7,1641,1,0,4,22,1,0,3,Very Long,110,2024
0,0,1,403,4,455.57,1,5,22.78,9,659,0,0,4,2,6,6,2,Short,208,2024
1,1,0,154,1,496.86,3,10,149.06,17,1694,0,0,4,20,6,3,2,Very Long,191,2024
1,0,4,631,1,646.61,3,0,0.0,20,202,0,0,4,27,5,0,1,Very Short,60,2024
0,1,3,658,7,676.24,3,20,405.74,16,461,1,1,5,3,7,2,2,Short,196,2024
0,1,5,415,6,1681.91,3,20,1009.15,17,19,0,0,4,17,10,3,0,Very Short,100,2024
1,0,4,601,2,1707.61,2,20,683.04,21,1318,1,1,5,8,10,1,0,Long,213,2024
1,0,5,874,3,480.06,2,20,192.02,22,1071,1,0,4,6,1,5,3,Long,93,2024
0,0,5,360,2,1134.82,3,30,1021.34,9,1264,0,0,4,21,8,2,2,Long,129,2024
0,0,4,15,2,888.19,1,5,44.41,24,1282,0,0,4,25,11,0,0,Long,183,2024
0,0,1,142,3,520.42,3,5,78.06,18,98,1,0,4,14,11,3,0,Very Short,123,2024
1,0,3,578,1,315.75,3,0,0.0,11,918,0,0,4,28,4,6,1,Long,44,2024
1,0,3,707,5,783.46,1,0,0.0,8,1255,1,0,4,12,10,5,0,Long,168,2024
0,0,5,483,0,536.34,1,0,0.0,18,149,0,0,4,19,10,5,0,Very Short,107,2024
1,0,2,622,4,269.37,4,0,0.0,8,1291,0,0,4,13,5,0,1,Long,137,2024
2,0,0,12,2,671.83,3,10,201.55,22,165,1,0,4,13,11,2,0,Very Short,198,2024
0,0,5,597,3,502.22,3,15,226.0,3,1347,1,0,4,18,8,6,2,Long,111,2024
0,1,5,572,0,543.67,2,0,0.0,22,974,0,0,4,1,10,1,0,Long,94,2024
0,0,5,850,7,1017.34,2,25,508.67,12,827,0,0,4,29,9,6,0,Short,92,2024
0,0,2,353,6,889.74,2,15,266.92,13,1787,0,0,4,12,10,5,0,Very Long,115,2024
1,1,0,722,6,561.28,1,15,84.19,13,786,0,0,4,15,12,6,3,Short,182,2024
1,0,2,218,4,191.56,1,20,38.31,9,247,1,0,4,8,11,4,0,Very Short,182,2024
1,0,5,807,1,443.67,3,25,332.75,11,758,0,0,4,3,6,0,2,Short,7,2024
0,1,0,496,5,1791.4,4,10,716.56,22,260,1,0,4,24,7,2,2,Very Short,224,2024
1,0,5,683,0,188.4,4,10,75.36,16,1354,0,0,4,24,8,5,2,Long,90,2024
0,1,2,472,7,255.41,2,0,0.0,23,352,1,0,4,8,11,4,0,Very Short,81,2024
0,1,3,670,0,298.03,1,0,0.0,4,43,0,0,4,23,5,3,1,Very Short,156,2024
0,1,4,727,4,317.01,3,15,142.65,22,1469,1,0,4,24,4,2,1,Very Long,199,2024
1,1,3,681,5,213.92,4,10,85.57,19,306,1,1,4,26,9,3,0,Very Short,157,2024
1,0,3,884,6,916.89,2,15,275.07,15,1386,1,0,4,14,12,5,3,Very Long,92,2024
1,0,1,849,7,976.56,4,15,585.94,19,1600,1,0,4,28,11,3,0,Very Long,72,2024
1,0,0,715,1,333.47,2,0,0.0,11,421,1,0,4,24,2,5,3,Very Short,190,2024
0,0,3,471,3,593.22,4,20,474.58,18,1532,1,0,4,1,12,6,3,Very Long,93,2024
0,1,3,83,4,243.59,1,20,48.72,18,426,1,0,4,15,10,1,0,Very Short,11,2024
1,1,2,369,3,1386.25,2,10,277.25,10,1496,1,0,4,27,2,1,3,Very Long,162,2024
2,0,4,545,0,354.8,3,0,0.0,13,1101,0,0,4,3,1,2,3,Long,120,2024
1,1,1,864,0,660.17,3,10,198.05,1,161,1,0,4,15,3,4,1,Very Short,106,2024
0,0,0,284,3,479.14,4,0,0.0,10,1485,0,0,4,5,12,3,3,Very Long,28,2024
2,1,4,871,5,1783.44,2,0,0.0,6,1732,1,0,4,2,10,2,0,Very Long,84,2024
0,0,2,521,0,173.91,3,30,156.52,12,135,0,0,4,28,7,6,2,Very Short,149,2024
0,1,2,784,2,1301.52,3,20,780.91,13,215,1,0,4,18,8,6,2,Very Short,197,2024
0,1,1,637,7,350.27,4,10,140.11,15,807,0,0,4,30,5,3,1,Short,159,2024
0,1,3,516,6,1499.31,1,30,449.79,5,1511,1,1,2,26,11,1,0,Very Long,88,2024
1,1,0,726,6,1086.95,1,5,54.35,9,1792,0,0,4,27,2,1,3,Very Long,10,2024
1,1,0,563,7,330.73,1,30,99.22,8,475,1,0,4,24,4,2,1,Short,147,2024
0,1,1,730,7,222.24,3,0,0.0,1,1462,0,0,4,14,3,3,1,Very Long,117,2024
0,1,3,403,6,1390.1,3,0,0.0,14,476,0,0,4,5,11,1,0,Short,160,2024
1,0,3,32,1,385.29,1,0,0.0,19,113,0,0,4,16,7,1,2,Very Short,86,2024
1,1,2,189,1,675.87,3,10,202.76,14,1213,0,0,4,6,9,4,0,Long,199,2024
0,1,2,474,6,739.72,1,0,0.0,14,1255,1,0,4,1,12,6,3,Long,0,2024
0,0,1,90,6,1926.47,4,20,1541.18,23,954,1,1,4,12,3,1,1,Long,176,2024
1,0,3,411,2,569.02,4,0,0.0,2,1768,0,0,4,18,12,2,3,Very Long,223,2024
2,0,4,11,1,628.99,4,15,377.39,13,32,1,0,4,16,2,4,3,Very Short,13,2024
0,0,5,458,6,1136.24,4,15,681.74,13,853,1,0,4,2,10,2,0,Short,137,2024
1,1,0,191,6,1076.93,1,10,107.69,22,198,1,0,4,13,9,4,0,Very Short,115,2024
1,1,3,670,2,1471.15,4,10,588.46,9,1760,1,1,5,28,10,0,0,Very Long,83,2024
0,0,4,484,1,378.3,3,15,170.24,7,347,1,1,2,27,2,1,3,Very Short,204,2024
2,1,0,814,7,509.26,3,30,458.33,12,1454,0,0,4,16,12,0,3,Very Long,24,2024
1,0,2,810,6,1889.33,3,25,1417.0,19,1654,0,0,4,16,10,2,0,Very Long,148,2024
1,1,5,355,2,992.27,3,0,0.0,12,68,0,0,4,10,2,5,3,Very Short,213,2024
1,1,2,373,4,104.17,3,5,15.63,10,721,0,0,4,22,7,0,2,Short,37,2024
0,0,5,460,3,503.11,3,0,0.0,24,1036,1,1,5,25,10,4,0,Long,116,2024
1,0,4,576,6,1660.47,2,5,166.05,15,444,1,0,4,23,6,6,2,Very Short,217,2024
1,1,1,590,7,787.58,4,10,315.03,9,1047,1,1,4,19,5,6,1,Long,87,2024
0,1,3,415,0,443.45,2,0,0.0,4,391,1,0,4,10,4,2,1,Very Short,199,2024
1,0,1,469,2,768.29,3,0,0.0,1,1385,1,1,3,7,7,6,2,Very Long,59,2024
2,1,0,12,3,1464.85,2,15,439.46,18,311,0,0,4,25,12,2,3,Very Short,158,2024
1,0,1,65,3,566.88,1,15,85.03,15,1765,0,0,4,9,8,4,2,Very Long,179,2024
1,1,0,384,2,1902.24,4,10,760.9,1,1710,1,1,4,20,9,4,0,Very Long,125,2024
0,1,2,842,2,1941.97,1,5,97.1,8,1340,1,0,4,11,10,4,0,Long,80,2024
0,0,3,333,2,947.09,1,0,0.0,7,161,1,0,4,10,10,3,0,Very Short,223,2024
0,1,0,891,1,520.82,3,0,0.0,19,87,1,1,1,26,5,6,1,Very Short,147,2024
1,1,4,284,1,576.32,2,20,230.53,23,965,1,1,4,7,10,0,0,Long,41,2024
1,0,5,45,5,233.01,3,10,69.9,21,435,1,0,4,29,4,0,1,Very Short,204,2024
2,1,0,274,5,1373.19,2,10,274.64,4,1157,1,1,3,1,8,3,2,Long,82,2024
0,0,1,347,3,866.56,1,10,86.66,11,151,1,0,4,20,4,5,1,Very Short,29,2024
2,0,2,136,3,1341.88,1,30,402.56,22,362,1,0,4,8,12,6,3,Very Short,178,2024
2,1,1,359,1,327.16,3,30,294.44,18,1417,0,0,4,23,9,0,0,Very Long,155,2024
1,1,4,524,5,423.89,4,15,254.33,13,288,1,0,4,1,8,3,2,Very Short,135,2024
1,0,0,177,0,624.92,3,10,187.48,22,1073,1,1,1,13,6,3,2,Long,143,2024
1,1,3,722,4,66.6,3,0,0.0,2,877,1,1,4,8,7,0,2,Short,153,2024
0,1,5,152,4,220.6,3,0,0.0,24,542,1,0,4,11,10,4,0,Short,4,2024
0,1,4,748,3,468.72,3,30,421.85,22,1726,1,0,4,9,4,1,1,Very Long,133,2024
0,0,5,107,1,662.39,1,0,0.0,16,481,1,0,4,29,10,1,0,Short,216,2024
0,1,3,241,0,656.54,4,20,525.23,23,1621,1,0,4,12,4,4,1,Very Long,27,2024
1,1,0,323,5,967.38,2,0,0.0,22,787,1,1,5,21,2,2,3,Short,51,2024
0,1,5,257,4,144.83,3,0,0.0,17,555,1,1,5,25,9,2,0,Short,172,2024
0,0,3,590,3,824.42,2,0,0.0,5,1759,0,0,4,15,9,6,0,Very Long,108,2024
0,1,4,255,3,594.95,1,15,89.24,7,516,0,0,4,2,5,3,1,Short,140,2024
1,0,5,116,3,461.11,3,15,207.5,7,1677,1,0,4,24,8,5,2,Very Long,154,2024
2,1,4,144,3,937.81,2,25,468.9,8,1549,1,0,4,22,9,6,0,Very Long,163,2024
1,0,5,806,2,1733.12,2,0,0.0,5,423,0,0,4,14,10,0,0,Very Short,35,2024
1,1,0,561,0,473.91,3,15,213.26,11,427,1,1,2,13,12,4,3,Very Short,28,2024
2,1,0,843,4,464.37,1,15,69.66,17,1748,0,0,4,7,11,3,0,Very Long,137,2024
1,1,1,131,6,764.33,2,15,229.3,12,1667,1,0,4,9,6,6,2,Very Long,83,2024
1,0,2,615,7,188.09,3,15,84.64,18,1383,1,1,5,25,3,0,1,Very Long,143,2024
1,1,3,357,7,923.83,4,25,923.83,21,19,1,0,4,5,2,0,3,Very Short,209,2024
2,0,1,781,0,460.62,3,5,69.09,23,122,1,0,4,28,7,6,2,Very Short,209,2024
0,0,0,487,6,1586.25,1,0,0.0,23,281,0,0,4,31,8,5,2,Very Short,43,2024
1,1,0,145,7,161.91,1,15,24.29,17,795,0,0,4,9,9,0,0,Short,214,2024
1,1,0,608,2,1150.44,3,0,0.0,8,670,1,0,4,4,1,3,3,Short,9,2024
0,1,2,520,5,383.47,2,10,76.69,2,999,1,0,4,12,9,3,0,Long,20,2024
1,0,5,869,3,763.3,1,15,114.49,1,542,1,0,4,14,10,0,0,Short,219,2024
